filename,num_vertices,mean_distance,std_distance,min_distance,max_distance
obj_01.ply,5841,3.4659801006159827,0.0997046065544194,3.1353628903889392,3.8316885628586905
obj_02.ply,38325,3.4665547837383786,0.10010672645557006,3.062879956206061,3.9130799795438658
obj_03.ply,40759,3.4666078784395036,0.10032369612054919,3.0942959708464635,3.8514359968687937
obj_04.ply,18995,3.4667927758711206,0.10020978955863911,3.0600351926849334,3.8261629193199758
obj_05.ply,22831,3.4663680424868373,0.10012708833216769,3.0930517215041,3.853031747863322
obj_06.ply,15736,3.466587643495481,0.10010809390552824,3.042928629097099,3.8549098603123815
obj_07.ply,16573,3.4667677402850496,0.10012372798004865,3.062492626219405,3.8557050849472727
obj_08.ply,12655,3.4670883017692757,0.10035361211354595,3.0413579392964847,3.862049025524286
obj_09.ply,7912,3.4654225770507368,0.10055776162220029,3.118879855569988,3.893934965395473
obj_10.ply,18473,3.467759444667475,0.10050230012991614,3.0502806205151725,3.8647784308849142
obj_11.ply,7479,3.4658128423619803,0.09798991135039044,3.120464804734,3.7991542544555923
obj_12.ply,15972,3.4667590568250404,0.09956677241846613,3.1141660071783104,3.8206648040460838
obj_13.ply,18216,3.4652508374024555,0.10054734045680692,3.0495108898746746,3.849360791738888
obj_14.ply,27435,3.4674119672911643,0.1000956643022314,3.0643980655020693,3.836437687860841
obj_15.ply,16559,3.4656738957759634,0.10054894630281414,3.076008686177006,3.8609523866575497
